Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08100004402;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3854;00009;Pontuação Governo e Corporativo - Sudeste;P;31/10/2008;26/04/2021
C08100004402;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3666;00009;Pontuação Governo e Corporativo - Sudeste;P;31/10/2008;26/04/2021
C08100004402;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;5170;00009;Pontuação Governo e Corporativo - Sudeste;P;31/10/2008;26/04/2021
C08100004402;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;6204;00009;Pontuação Governo e Corporativo - Sudeste;P;31/10/2008;26/04/2021
C09010001836;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3854;00009;Pontuação Governo e Corporativo - Sudeste;P;20/01/2009;16/07/2021
C09010001836;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3666;00009;Pontuação Governo e Corporativo - Sudeste;P;20/01/2009;16/07/2021
C09010001836;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;5170;00009;Pontuação Governo e Corporativo - Sudeste;P;20/01/2009;16/07/2021
C09010001836;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;6204;00009;Pontuação Governo e Corporativo - Sudeste;P;20/01/2009;16/07/2021
C09010003022;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3854;00009;Pontuação Governo e Corporativo - Sudeste;P;22/01/2009;18/07/2021
C09010003022;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3666;00009;Pontuação Governo e Corporativo - Sudeste;P;22/01/2009;18/07/2021
C09010003022;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;5170;00009;Pontuação Governo e Corporativo - Sudeste;P;22/01/2009;18/07/2021
C09010003022;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;6204;00009;Pontuação Governo e Corporativo - Sudeste;P;22/01/2009;18/07/2021
C08100000598;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3948;00009;Pontuação Governo e Corporativo - Sudeste;P;23/01/2009;19/07/2021
C08100000598;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;4888;00009;Pontuação Governo e Corporativo - Sudeste;P;23/01/2009;19/07/2021
C08100000598;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3948;00009;Pontuação Governo e Corporativo - Sudeste;P;23/01/2009;19/07/2021
C08100000598;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;7708;00009;Pontuação Governo e Corporativo - Sudeste;P;23/01/2009;19/07/2021
C08120001964;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;2256;00009;Pontuação Governo e Corporativo - Sudeste;P;28/01/2009;24/07/2021
C08120001964;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;2350;00009;Pontuação Governo e Corporativo - Sudeste;P;28/01/2009;24/07/2021
C08120001964;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;2256;00009;Pontuação Governo e Corporativo - Sudeste;P;28/01/2009;24/07/2021
C08120001964;131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;4888;00009;Pontuação Governo e Corporativo - Sudeste;P;28/01/2009;24/07/2021
