Código Cliente;Razão Social;Pontuação;Cód. Bônus;Moeda do Bônus;Data Geração;Data Expiração
117;DISTRIFILM COMERCIAL LTDA;83450;00001;Pontuacao;10/02/2008;08/11/2018
117;DISTRIFILM COMERCIAL LTDA;6352;00001;Pontuacao;10/02/2008;08/11/2018
117;DISTRIFILM COMERCIAL LTDA;3891;00001;Pontuacao;10/22/2008;08/31/2018
117;DISTRIFILM COMERCIAL LTDA;9900;00001;Pontuacao;11/24/2008;10/03/2018
117;DISTRIFILM COMERCIAL LTDA;2783;00001;Pontuacao;12/04/2008;10/13/2018
117;DISTRIFILM COMERCIAL LTDA;5290;00001;Pontuacao;12/08/2008;10/17/2018
117;DISTRIFILM COMERCIAL LTDA;2417;00001;Pontuacao;11/24/2008;10/03/2018
117;DISTRIFILM COMERCIAL LTDA;2603;00001;Pontuacao;02/09/2009;12/19/2018
117;DISTRIFILM COMERCIAL LTDA;3845;00001;Pontuacao;03/09/2009;01/16/2019
117;DISTRIFILM COMERCIAL LTDA;2160;00001;Pontuacao;03/09/2009;01/16/2019
117;DISTRIFILM COMERCIAL LTDA;2784;00001;Pontuacao;03/13/2009;01/20/2019
117;DISTRIFILM COMERCIAL LTDA;3532;00001;Pontuacao;03/13/2009;01/20/2019
117;DISTRIFILM COMERCIAL LTDA;5155;00001;Pontuacao;03/19/2009;01/26/2019
117;DISTRIFILM COMERCIAL LTDA;3417;00001;Pontuacao;03/24/2009;01/31/2019
117;DISTRIFILM COMERCIAL LTDA;713;00001;Pontuacao;05/07/2009;03/16/2019
117;DISTRIFILM COMERCIAL LTDA;2211;00001;Pontuacao;04/15/2009;02/22/2019
117;DISTRIFILM COMERCIAL LTDA;1683;00001;Pontuacao;04/15/2009;02/22/2019
117;DISTRIFILM COMERCIAL LTDA;5010;00001;Pontuacao;05/12/2009;03/21/2019
117;DISTRIFILM COMERCIAL LTDA;1586;00001;Pontuacao;05/12/2009;03/21/2019
117;DISTRIFILM COMERCIAL LTDA;3093;00001;Pontuacao;05/12/2009;03/21/2019
117;DISTRIFILM COMERCIAL LTDA;4519;00001;Pontuacao;07/08/2009;05/17/2019
117;DISTRIFILM COMERCIAL LTDA;1940;00001;Pontuacao;10/28/2011;09/05/2021
117;DISTRIFILM COMERCIAL LTDA;1038;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;4147;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;1016;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;3055;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;1429;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;1938;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;10098;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;2137;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;2292;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;1697;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;7154;00001;Pontuacao;09/23/2009;08/02/2019
117;DISTRIFILM COMERCIAL LTDA;3712;00001;Pontuacao;11/24/2009;10/03/2019
117;DISTRIFILM COMERCIAL LTDA;1666;00001;Pontuacao;11/13/2009;09/22/2019
117;DISTRIFILM COMERCIAL LTDA;5315;00001;Pontuacao;11/13/2009;09/22/2019
117;DISTRIFILM COMERCIAL LTDA;2282;00001;Pontuacao;11/13/2009;09/22/2019
117;DISTRIFILM COMERCIAL LTDA;2368;00001;Pontuacao;11/24/2009;10/03/2019
117;DISTRIFILM COMERCIAL LTDA;4193;00001;Pontuacao;02/12/2010;12/22/2019
117;DISTRIFILM COMERCIAL LTDA;2362;00001;Pontuacao;04/16/2010;02/23/2020
117;DISTRIFILM COMERCIAL LTDA;2442;00001;Pontuacao;12/28/2009;11/06/2019
