Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
06/05/2014;06/09/2014;06/09/2014;07/24/2014;C14060004665;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/07/2014;07/08/2014;07/08/2014;08/06/2014;C14070002657;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/29/2014;07/30/2014;07/31/2014;08/27/2014;C14070013500;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;600;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/07/2014;08/07/2014;08/10/2014;08/27/2014;C14080002773;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/25/2014;08/25/2014;;;C14080008038;230;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;Paraná;500;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aprovada
08/18/2014;08/19/2014;08/20/2014;09/01/2014;C14080006094;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/05/2014;08/05/2014;08/06/2014;09/25/2014;C14080001297;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/10/2014;07/11/2014;07/14/2014;10/01/2014;C14070003700;118;DISTRIFILM COMERCIAL LTDA;SP;70;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/16/2014;07/17/2014;07/18/2014;10/01/2014;C14070007101;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/10/2014;06/10/2014;06/16/2014;07/01/2014;C14060006528;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/05/2014;06/09/2014;;;C14060004231;118;DISTRIFILM COMERCIAL LTDA;SP;50;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aprovada
06/18/2014;06/18/2014;06/19/2014;10/01/2014;C14060007842;118;DISTRIFILM COMERCIAL LTDA;SP;80;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/01/2014;07/02/2014;07/02/2014;08/06/2014;C14070000794;118;DISTRIFILM COMERCIAL LTDA;SP;60;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/16/2014;07/17/2014;07/17/2014;08/06/2014;C14070007454;119;BIRD SOLUTION LTDA;SP;120;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/21/2014;07/22/2014;07/23/2014;08/06/2014;C14070009821;119;BIRD SOLUTION LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/07/2014;07/08/2014;07/09/2014;08/06/2014;C14070002738;119;BIRD SOLUTION LTDA;SP;456;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/05/2014;08/05/2014;08/06/2014;09/01/2014;C14080001378;119;BIRD SOLUTION LTDA;SP;215;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/28/2014;07/28/2014;07/29/2014;09/01/2014;C14070013187;119;BIRD SOLUTION LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/20/2014;08/21/2014;08/22/2014;10/01/2014;C14080006841;119;BIRD SOLUTION LTDA;SP;257;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/26/2014;08/27/2014;08/28/2014;09/29/2014;C14080008976;121;Multh Comércio Materiais Equipamentos Ltda;SP;504;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/14/2014;08/14/2014;08/15/2014;09/29/2014;C14080005012;123;Dimex do Triângulo Ltda;MG;100;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/22/2014;07/23/2014;07/24/2014;08/28/2014;C14070010676;123;Dimex do Triângulo Ltda;MG;220;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/01/2014;07/01/2014;07/01/2014;08/04/2014;C14070000280;123;Dimex do Triângulo Ltda;MG;200;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
05/30/2014;06/02/2014;06/02/2014;07/21/2014;C14050013963;123;Dimex do Triângulo Ltda;MG;300;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/02/2014;06/03/2014;06/04/2014;08/06/2014;C14060002026;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;1500;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
07/16/2014;07/17/2014;07/20/2014;08/28/2014;C14070008000;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;1500;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Encerrada
07/14/2014;07/14/2014;07/16/2014;08/28/2014;C14070005320;248;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;55;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/30/2014;06/30/2014;06/30/2014;;C14060009624;248;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;71;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
07/14/2014;07/14/2014;07/14/2014;08/04/2014;C14070005834;136;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;MG;236;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/24/2014;07/25/2014;07/27/2014;08/28/2014;C14070011990;136;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;MG;159;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/25/2014;08/25/2014;08/26/2014;09/29/2014;C14080007813;136;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;MG;193;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/12/2014;08/13/2014;08/14/2014;09/01/2014;C14080003907;260;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;SP;800;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
