Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Transportadora; Data solicitacao; Data aprovacao; Data programada; Data recebimento; Status
E08120000216;3;TECNOCOOP-COOPERATIVA DE TRABALHO DE ASSISTÊNCIA TÉCNICA A EQUIPAMENTOS DE PROCESSAMENTO DE DADOS LTDA;SP;1;Ponto de Coleta;02/12/2008;12/02/2008;;;Cancelada
E08120000305;4;TECNOCOOP - FILIAL DE SÃO PAULO;SP;1;Ponto de Coleta;02/12/2008;12/02/2008;;;Cancelada
E08120000569;4;TECNOCOOP - FILIAL DE SÃO PAULO;SP;1;Ponto de Coleta;02/12/2008;12/02/2008;;;Cancelada
E08120000640;3;TECNOCOOP-COOPERATIVA DE TRABALHO DE ASSISTÊNCIA TÉCNICA A EQUIPAMENTOS DE PROCESSAMENTO DE DADOS LTDA;SP;1;Ponto de Coleta;02/12/2008;12/02/2008;;;Cancelada
E08120000720;3;TECNOCOOP-COOPERATIVA DE TRABALHO DE ASSISTÊNCIA TÉCNICA A EQUIPAMENTOS DE PROCESSAMENTO DE DADOS LTDA;SP;1;Ponto de Coleta;02/12/2008;02/12/2008;;;Aprovada
E08120000801;4;TECNOCOOP - FILIAL DE SÃO PAULO;SP;1;Ponto de Coleta;02/12/2008;02/12/2008;;;Material entregue e ainda não devolvido
E08120002260;6;TECNOCOOP-FILIAL DE SALVADOR;BA;1;Ponto de Coleta;05/12/2008;12/05/2008;;;Cancelada
M09020003491;4;TECNOCOOP - FILIAL DE SÃO PAULO;SP;56;Ponto de Coleta;19/02/2009;09/04/2009;;;Aprovada
E09030004407;4;TECNOCOOP - FILIAL DE SÃO PAULO;SP;9;Ponto de Coleta;19/03/2009;20/03/2009;;;Aprovada
E09050000563;9;TECNOCOOP - FILIAL DE CURITIBA;PR;3;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;04/05/2009;04/05/2009;;;Aprovada
