Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08030000144;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;90;00001;Pontuação Corporativo;P;28/03/2008;27/04/2008
C08030000144;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;240;00001;Pontuação Corporativo;P;28/03/2008;27/04/2008
C08030000144;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;100;00001;Pontuação Corporativo;P;28/03/2008;27/04/2008
C08030000810;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;300;00001;Pontuação Corporativo;P;28/03/2008;27/04/2008
C08030000659;103;ITAU S/A;400;00001;Pontuação Corporativo;P;08/05/2008;07/06/2008
C08040002557;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1500;00001;Pontuação Corporativo;P;08/05/2008;07/06/2008
C08050001782;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;3210;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08050001359;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1200;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08050001359;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;200;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08050001430;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1450;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08050001510;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;2350;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08050001600;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;3520;00001;Pontuação Corporativo;P;12/05/2008;21/03/2018
C08040004339;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1000;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000231;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1000;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000231;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;1250;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000312;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;2300;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000401;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;3000;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000584;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;6000;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08060000584;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;800;00001;Pontuação Corporativo;P;11/06/2008;20/04/2018
C08070000358;111;Tomaz Gonzaga;1000;00001;Pontuação Corporativo;P;08/07/2008;17/05/2018
