Número Solicitação;Razão Social;Pontuação;Cód. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08100001217;;651;00001;Pontuacao;24/11/2008;03/10/2018
C08110003204;;2417;00001;Pontuacao;24/11/2008;03/10/2018
C08110003115;;2783;00001;Pontuacao;24/11/2008;03/10/2018
C08110003387;;9900;00001;Pontuacao;24/11/2008;03/10/2018
C09010003537;;87000;00001;Pontuacao;22/01/2009;01/12/2018
C09010003375;;87000;00001;Pontuacao;22/01/2009;01/12/2018
C09010003456;;87000;00001;Pontuacao;22/01/2009;01/12/2018
C08120005790;;761;00001;Pontuacao;09/03/2009;16/01/2019
C09020001286;;795;00001;Pontuacao;13/03/2009;20/01/2019
C09080002432;;2232;00001;Pontuacao;24/09/2009;03/08/2019
C09030001998;;1054;00001;Pontuacao;15/12/2009;24/10/2019
C10020000909;;5736;00001;Pontuacao;16/04/2010;23/02/2020
C09110003563;;3027;00001;Pontuacao;22/04/2010;29/02/2020
C10030000693;;761;00001;Pontuacao;11/06/2010;19/04/2020
C10070003812;;1604;00001;Pontuacao;28/09/2010;06/08/2020
C10040001943;;1285;00001;Pontuacao;19/10/2010;27/08/2020
C11010002338;;919;00001;Pontuacao;01/02/2011;10/12/2020
C11030005758;;937;00001;Pontuacao;07/04/2011;13/02/2021
C11040005106;;2696;00001;Pontuacao;12/05/2011;20/03/2021
C11060001858;;851;00001;Pontuacao;20/06/2011;28/04/2021
C11060005683;;132;00001;Pontuacao;06/07/2011;14/05/2021
C11070006771;;916;00001;Pontuacao;29/07/2011;06/06/2021
C11080007002;;727;00001;Pontuacao;06/09/2011;15/07/2021
C11090004537;;1391;00001;Pontuacao;28/10/2011;05/09/2021
C11110004499;;2104;00001;Pontuacao;30/11/2011;08/10/2021
C11120000518;;1622;00001;Pontuacao;17/01/2012;25/11/2021
C12010001623;;484;00001;Pontuacao;17/02/2012;26/12/2021
C12010005025;;1911;00001;Pontuacao;17/02/2012;26/12/2021
C12020003360;;642;00001;Pontuacao;27/02/2012;05/01/2022
C12030005934;;3360;00001;Pontuacao;23/04/2012;02/03/2022
C12060001520;;983;00001;Pontuacao;16/07/2012;25/05/2022
C12070002880;;539;00001;Pontuacao;23/07/2012;01/06/2022
C12080000600;;792;00001;Pontuacao;07/08/2012;16/06/2022
C12090001021;;1411;00001;Pontuacao;19/09/2012;29/07/2022
C13020005670;;1344;00001;Pontuacao;30/04/2013;09/03/2023
C13110005238;;549;00001;Pontuacao;20/01/2014;29/11/2023
