Número Solicitação;Razão Social;UF;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data de Expiração;Data Resgate
M07090007155;1;CONTEC INFORMATICA LTDA                 ;150;00003;Ponto de coleta;R;10/09/2007;09/11/2007;
M07090009441;3;PONTO  COLETA MIRACULA;760;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090009441;3;PONTO  COLETA MIRACULA;1500;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090010105;3;PONTO  COLETA MIRACULA;360;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090010105;3;PONTO  COLETA MIRACULA;1500;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090011853;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090011853;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;12/09/2007;02/10/2007;
M07090014950;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090014950;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090014950;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015093;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015093;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015093;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015689;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015689;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015689;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015760;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015760;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090015760;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090019404;3;PONTO  COLETA MIRACULA;500;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090019404;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090019404;3;PONTO  COLETA MIRACULA;1000;00016;Bonus para Ponto de Coleta;R;17/09/2007;17/10/2007;
M07090014950;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090014950;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015093;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015093;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015689;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015689;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015760;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090015760;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090019404;3;PONTO  COLETA MIRACULA;400;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090019404;3;PONTO  COLETA MIRACULA;1000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090021301;1;CONTEC INFORMATICA LTDA                 ;200;00003;Ponto de coleta;R;21/09/2007;20/11/2007;
M07090023274;3;PONTO  COLETA MIRACULA;2000;00011;Bonus para ponto de coleta Miracula;P;21/09/2007;11/10/2007;
M07090023274;3;PONTO  COLETA MIRACULA;2500;00016;Bonus para Ponto de Coleta;R;05/10/2007;04/11/2007;
M07090023274;3;PONTO  COLETA MIRACULA;400;00016;Bonus para Ponto de Coleta;R;05/10/2007;04/11/2007;
