Data Solicitação;Número Solicitação;Cod. Ponto Coleta;Razão Social Ponto Coleta;Qtd. Cartuchos;Data Programada para Coleta
31/03/2008;M08030001116;4;Nitek;110;04/02/2008
02/04/2008;M08040000341;4;Nitek;300;05/02/2008
08/04/2008;E08040001070;4;Nitek;320;
08/04/2008;M08040001151;4;Nitek;315;
14/04/2008;E08040001313;4;Nitek;100;
14/04/2008;E08040001402;4;Nitek;200;
14/04/2008;E08040001585;4;Nitek;300;
14/04/2008;E08040001666;4;Nitek;400;
14/04/2008;E08040001747;4;Nitek;450;
14/04/2008;E08040001828;4;Nitek;550;
14/04/2008;M08040001909;4;Nitek;100;
14/04/2008;M08040002042;4;Nitek;200;
14/04/2008;M08040002123;4;Nitek;300;
14/04/2008;M08040002204;4;Nitek;400;
14/04/2008;M08040002395;4;Nitek;450;
14/04/2008;M08040002476;4;Nitek;550;
08/05/2008;E08050000115;4;Nitek;150;
08/05/2008;M08050000204;4;Nitek;150;
08/05/2008;E08050000387;4;Nitek;300;
08/05/2008;M08050000468;4;Nitek;300;05/08/2008
02/04/2008;M08040000694;4;Nitek;200;
