Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora; Data solicitacao; Data aprovacao; Data programada; Data recebimento; Status
10/09/2007;M07090007155;1;CONTEC INFORMATICA LTDA                 ;SP;200;---;---;CONTEC INFORMATICA LTDA                 ;9/10/2007 4:05:33 PM;9/10/2007;9/10/2007;9/10/2007;1
12/09/2007;M07090008801;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;9/12/2007 3:21:59 PM;9/12/2007;9/12/2007;9/13/2007;1
12/09/2007;M07090009018;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;9/12/2007 3:24:17 PM;9/12/2007;9/13/2007;9/13/2007;1
12/09/2007;M07090009280;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;9/12/2007 3:36:06 PM;9/12/2007;9/13/2007;9/13/2007;1
12/09/2007;M07090009441;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;9/12/2007 4:02:21 PM;9/12/2007;9/12/2007;9/13/2007;1
12/09/2007;M07090010105;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;9/12/2007 5:10:04 PM;9/12/2007;9/13/2007;9/13/2007;1
12/09/2007;M07090011853;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;9/12/2007 6:29:21 PM;9/12/2007;9/12/2007;9/13/2007;1
17/09/2007;M07090014950;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;9/17/2007 11:08:23 AM;9/17/2007;9/17/2007;9/17/2007;1
17/09/2007;M07090015093;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;9/17/2007 11:08:27 AM;9/17/2007;9/17/2007;9/17/2007;1
17/09/2007;M07090015689;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;9/17/2007 11:59:46 AM;9/17/2007;9/17/2007;9/17/2007;1
17/09/2007;M07090015760;3;PONTO  COLETA MIRACULA;SP;500;---;---;PONTO  COLETA MIRACULA;9/17/2007 11:59:54 AM;9/17/2007;9/17/2007;9/17/2007;1
17/09/2007;M07090019404;3;PONTO  COLETA MIRACULA;SP;400;---;---;PONTO  COLETA MIRACULA;9/17/2007 5:52:40 PM;9/17/2007;9/17/2007;9/17/2007;1
18/09/2007;M07090021301;1;CONTEC INFORMATICA LTDA                 ;SP;360;---;---;CONTEC INFORMATICA LTDA                 ;9/18/2007 5:16:04 PM;9/21/2007;9/21/2007;9/21/2007;1
21/09/2007;M07090023274;3;PONTO  COLETA MIRACULA;SP;700;---;---;PONTO  COLETA MIRACULA;9/21/2007 5:45:07 PM;9/21/2007;9/21/2007;9/21/2007;1
14/12/2007;M07120006585;5;Porto Ponto Coleta;SP;100;---;---;Porto Ponto Coleta;12/14/2007 2:29:51 PM;12/14/2007;12/14/2007;12/14/2007;1
