Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
08/09/2008;09/09/2008;09/09/2008;30/09/2008;C08090000248;118;DISTRIFILM COMERCIAL LTDA;SP;200;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
15/09/2008;16/09/2008;18/09/2008;30/10/2008;C08090000400;118;DISTRIFILM COMERCIAL LTDA;SP;217;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
14/07/2009;14/07/2009;17/07/2009;22/09/2009;C09070002316;118;DISTRIFILM COMERCIAL LTDA;SP;46;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
22/07/2009;22/07/2009;11/08/2009;22/09/2009;C09070003550;118;DISTRIFILM COMERCIAL LTDA;SP;61;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
22/07/2009;22/07/2009;24/07/2009;22/09/2009;C09070003800;118;DISTRIFILM COMERCIAL LTDA;SP;233;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
24/07/2009;27/07/2009;31/07/2009;22/09/2009;C09070003983;118;DISTRIFILM COMERCIAL LTDA;SP;52;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
31/07/2009;31/07/2009;06/08/2009;23/09/2009;C09070004602;118;DISTRIFILM COMERCIAL LTDA;SP;96;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
07/08/2009;07/08/2009;12/08/2009;22/09/2009;C09080000901;118;DISTRIFILM COMERCIAL LTDA;SP;62;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
18/08/2009;18/08/2009;20/08/2009;22/09/2009;C09080003161;118;DISTRIFILM COMERCIAL LTDA;SP;140;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
02/09/2009;02/09/2009;08/09/2009;;C09090000181;118;DISTRIFILM COMERCIAL LTDA;SP;196;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
08/09/2009;09/09/2009;15/09/2009;13/11/2009;C09090001668;118;DISTRIFILM COMERCIAL LTDA;SP;53;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
10/09/2009;11/09/2009;21/09/2009;13/11/2009;C09090002044;118;DISTRIFILM COMERCIAL LTDA;SP;146;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
15/09/2009;15/09/2009;22/09/2009;15/09/2009;C09090002710;118;DISTRIFILM COMERCIAL LTDA;SP;60;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
18/09/2009;18/09/2009;22/09/2009;;C09090004098;118;DISTRIFILM COMERCIAL LTDA;SP;85;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
08/10/2009;08/10/2009;14/10/2009;;C09100001665;118;DISTRIFILM COMERCIAL LTDA;SP;166;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
23/10/2009;23/10/2009;05/11/2009;;C09100004680;118;DISTRIFILM COMERCIAL LTDA;SP;132;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
06/11/2009;06/11/2009;17/11/2009;;C09110000629;118;DISTRIFILM COMERCIAL LTDA;SP;61;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
12/11/2009;12/11/2009;19/11/2009;;C09110001510;118;DISTRIFILM COMERCIAL LTDA;SP;38;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
17/11/2009;17/11/2009;;;C09110001943;118;DISTRIFILM COMERCIAL LTDA;SP;40;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
23/11/2009;;;;C09110002834;118;DISTRIFILM COMERCIAL LTDA;SP;44;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em espera de Aprovação
24/11/2009;;;;C09110003059;118;DISTRIFILM COMERCIAL LTDA;SP;45;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em espera de Aprovação
25/09/2008;25/09/2008;29/09/2008;14/10/2008;C08090001139;118;DISTRIFILM COMERCIAL LTDA;SP;118;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
09/10/2008;09/10/2008;10/10/2008;18/11/2008;C08100001560;118;DISTRIFILM COMERCIAL LTDA;SP;331;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
23/10/2008;23/10/2008;24/10/2008;;C08100003694;118;DISTRIFILM COMERCIAL LTDA;SP;96;4;Revendedor;ATLAS LOGÍSTICA LTDA;Cancelada
03/11/2008;03/11/2008;05/11/2008;02/12/2008;C08110000280;118;DISTRIFILM COMERCIAL LTDA;SP;89;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
14/11/2008;17/11/2008;19/11/2008;08/12/2008;C08110001767;118;DISTRIFILM COMERCIAL LTDA;SP;173;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
24/11/2008;24/11/2008;24/11/2008;24/11/2008;C08110003549;118;DISTRIFILM COMERCIAL LTDA;SP;90;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
26/11/2008;27/11/2008;28/11/2008;06/02/2009;C08110003891;118;DISTRIFILM COMERCIAL LTDA;SP;99;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/12/2008;11/12/2008;15/12/2008;09/03/2009;C08120003908;118;DISTRIFILM COMERCIAL LTDA;SP;117;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
23/12/2008;26/12/2008;06/01/2009;09/03/2009;C08120005609;118;DISTRIFILM COMERCIAL LTDA;SP;95;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
13/01/2009;13/01/2009;19/01/2009;10/03/2009;C09010000945;118;DISTRIFILM COMERCIAL LTDA;SP;75;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
28/01/2009;28/01/2009;29/01/2009;10/03/2009;C09010005319;118;DISTRIFILM COMERCIAL LTDA;SP;101;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
12/02/2009;12/02/2009;16/02/2009;18/03/2009;C09020002509;118;DISTRIFILM COMERCIAL LTDA;SP;164;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/03/2009;06/03/2009;09/03/2009;24/03/2009;C09030000754;118;DISTRIFILM COMERCIAL LTDA;SP;117;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
16/03/2009;16/03/2009;18/03/2009;14/04/2009;C09030002455;118;DISTRIFILM COMERCIAL LTDA;SP;68;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
23/03/2009;23/03/2009;25/03/2009;14/04/2009;C09030004580;118;DISTRIFILM COMERCIAL LTDA;SP;72;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
06/04/2009;06/04/2009;07/04/2009;12/05/2009;C09040001680;118;DISTRIFILM COMERCIAL LTDA;SP;191;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
08/04/2009;08/04/2009;14/04/2009;12/05/2009;C09040002067;118;DISTRIFILM COMERCIAL LTDA;SP;66;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
23/04/2009;23/04/2009;27/04/2009;12/05/2009;C09040004949;118;DISTRIFILM COMERCIAL LTDA;SP;115;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
11/05/2009;11/05/2009;13/05/2009;08/07/2009;C09050001535;118;DISTRIFILM COMERCIAL LTDA;SP;117;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
02/06/2009;04/06/2009;08/06/2009;;C09060000418;118;DISTRIFILM COMERCIAL LTDA;SP;91;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
08/06/2009;10/06/2009;17/06/2009;22/09/2009;C09060000760;118;DISTRIFILM COMERCIAL LTDA;SP;36;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
22/06/2009;23/06/2009;26/06/2009;22/09/2009;C09060002704;118;DISTRIFILM COMERCIAL LTDA;SP;146;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
25/06/2009;25/06/2009;29/06/2009;22/09/2009;C09060003271;118;DISTRIFILM COMERCIAL LTDA;SP;65;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
03/07/2009;03/07/2009;07/07/2009;23/09/2009;C09070000291;118;DISTRIFILM COMERCIAL LTDA;SP;68;4;Revendedor;ATLAS LOGÍSTICA LTDA;Encerrada
