Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000576;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000576;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000657;4;BANCO ABN AMRO REAL S/A                 ;1590;00002;Contribuição;R;05/09/2007;25/02/2013
C07090000657;4;BANCO ABN AMRO REAL S/A                 ;22;00002;Contribuição;R;05/09/2007;25/02/2013
C07090000657;4;BANCO ABN AMRO REAL S/A                 ;76;00002;Contribuição;R;05/09/2007;25/02/2013
C07090000657;4;BANCO ABN AMRO REAL S/A                 ;180;00002;Contribuição;R;05/09/2007;25/02/2013
C07090001386;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;06/09/2007;25/09/2011
C07090001548;1;BANCO ITAU S. A.                        ;948;00001;Banco Itau;D;06/09/2007;25/09/2011
C07090004482;7;CARMEL COMERCIAL LTDA ;830;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;1162;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;1992;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;1079;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;913;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;1577;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;5478;00004;Clientes Regiao Sul;P;10/09/2007;09/11/2007
C07090004563;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;10/09/2007;29/09/2011
C07090006850;6;MIRACULA STORE;7470;00004;Clientes Regiao Sul;P;11/09/2007;10/11/2007
C07090006930;6;MIRACULA STORE;24900;00004;Clientes Regiao Sul;P;11/09/2007;10/11/2007
C07090004482;7;CARMEL COMERCIAL LTDA ;1098;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;610;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;610;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090007902;11;ALLDORA TECNOLOGIA LTDA;1220;00004;Clientes Regiao Sul;P;12/09/2007;11/11/2007
C07090011004;8;NEXXIA;1080;00010;Teste 1000;P;12/09/2007;11/11/2007
C07090011187;8;NEXXIA;120;00010;Teste 1000;P;12/09/2007;11/11/2007
C07090011268;8;NEXXIA;1200;00010;Teste 1000;P;12/09/2007;11/11/2007
C07090011349;8;NEXXIA;4800;00010;Teste 1000;P;12/09/2007;11/11/2007
C07090011420;8;NEXXIA;4800;00010;Teste 1000;P;12/09/2007;11/11/2007
C07090012159;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;13/09/2007;02/10/2011
C07090012310;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;13/09/2007;02/10/2011
C07090012663;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;13/09/2007;13/10/2007
C07090012744;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;13/09/2007;13/10/2007
C07090012825;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;13/09/2007;13/10/2007
C07090012906;6;MIRACULA STORE;1000;00013;Cadastro de Bonus para a Miracula Store;R;13/09/2007;13/10/2007
C07090011004;8;NEXXIA;2200;00010;Teste 1000;P;16/09/2007;15/11/2007
C07090011187;8;NEXXIA;330;00010;Teste 1000;P;16/09/2007;15/11/2007
C07090011268;8;NEXXIA;2200;00010;Teste 1000;P;16/09/2007;15/11/2007
C07090011349;8;NEXXIA;2200;00010;Teste 1000;P;16/09/2007;15/11/2007
C07090011420;8;NEXXIA;2200;00010;Teste 1000;P;16/09/2007;15/11/2007
C07090014100;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090014100;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090014100;8;NEXXIA;1000;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090014283;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090014283;8;NEXXIA;200;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090014283;8;NEXXIA;1000;00015;fhsuhfihif;R;17/09/2007;16/12/2007
C07090018351;1;BANCO ITAU S. A.                        ;400;00001;Banco Itau;D;17/09/2007;06/10/2011
C07090018602;8;NEXXIA;100;00015;fhsuhfihif;R;17/09/2007;16/12/2007
