Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Transportadora; Data solicitacao; Data aprovacao; Data programada; Data recebimento; Status
M07090001114;;;;100;;06/09/2007;06/09/2007;08/01/2008;;Cancelada
M07090007155;;;;200;;10/09/2007;10/09/2007;10/09/2007;10/09/2007;Encerrada
M07090008399;;;;500;;12/09/2007;10/10/2007;;;Aguardando coleta
M07090008550;;;;400;;12/09/2007;12/09/2007;16/01/2008;;Cancelada
M07090008801;;;;700;;12/09/2007;12/09/2007;12/09/2007;13/09/2007;Encerrada
M07090009018;;;;500;;12/09/2007;12/09/2007;13/09/2007;13/09/2007;Encerrada
M07090009280;;;;500;;12/09/2007;12/09/2007;13/09/2007;13/09/2007;Encerrada
M07090009441;;;;500;;12/09/2007;12/09/2007;12/09/2007;13/09/2007;Encerrada
M07090010105;;;;400;;12/09/2007;12/09/2007;13/09/2007;13/09/2007;Encerrada
M07090011853;;;;400;;12/09/2007;12/09/2007;12/09/2007;13/09/2007;Encerrada
M07090014950;;;;500;;17/09/2007;17/09/2007;17/09/2007;17/09/2007;Encerrada
M07090015093;;;;400;;17/09/2007;17/09/2007;17/09/2007;17/09/2007;Encerrada
M07090015689;;;;700;;17/09/2007;17/09/2007;17/09/2007;17/09/2007;Encerrada
M07090015760;;;;500;;17/09/2007;17/09/2007;17/09/2007;17/09/2007;Encerrada
M07090019404;;;;400;;17/09/2007;17/09/2007;17/09/2007;17/09/2007;Encerrada
M07090021301;;;;360;;18/09/2007;21/09/2007;21/09/2007;21/09/2007;Encerrada
M07090023274;;;;700;;21/09/2007;21/09/2007;21/09/2007;21/09/2007;Encerrada
M07100001545;;;;140;;08/10/2007;10/10/2007;;;Aprovada
M07120006585;;;;100;;14/12/2007;14/12/2007;14/12/2007;14/12/2007;Encerrada
M08010000505;;;;200;;04/01/2008;04/01/2008;;;Cancelada
M08010000769;;;;250;;04/01/2008;04/01/2008;04/01/2008;04/01/2008;Encerrada
M08010002117;;;;100;;09/01/2008;01/09/2008;01/01/2008;;Cancelada
M08010002206;;;;200;;09/01/2008;09/01/2008;;;Cancelada
