Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro;Status
100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/03/2008;Aprovado
102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;4;Revendedor;5;Premier;00003;Pontuação VAR - Sul;11/12/2008;Aprovado
117;DISTRIFILM COMERCIAL LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/08/2008;Aprovado
118;BIRD SOLUTION LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/09/2008;Aprovado
120;Multh Comércio Materiais Equipamentos Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/16/2008;Aprovado
122;Dimex do Triângulo Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/18/2008;Aprovado
123;ALLDORA TECNOLOGIA LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/22/2008;Aprovado
134;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;10/03/2008;Aprovado
135;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;10/06/2008;Aprovado
136;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;10/07/2008;Aprovado
142;Carmel Comercial Ltda;4;Revendedor;8;Compushop-Carmel;00001;Pontuação VAR-Sudeste;10/09/2008;Aprovado
143;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;10/09/2008;Aprovado
144;abba equipamentos de informatica e suprimentos ltda;4;Revendedor;1;;00005;Pontuação VAR - Centro-Oeste;10/11/2008;Aprovado
148;H2L EQUIPAMENTOS SISTEMAS LTDA;4;Revendedor;1;;00005;Pontuação VAR - Centro-Oeste;10/16/2008;Aprovado
157;cprinter informatica e comercio ltda epp;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;10/23/2008;Aprovado
164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/03/2008;Aprovado
165;REIS OFFICE PRODUCTS COMERCIAL LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/05/2008;Aprovado
173;INNOVATECH COM.E REPRESENTACAO LTDA;4;Revendedor;1;;00004;Pontuação VAR - Nordeste;11/18/2008;Aprovado
174;Klima Campinas Tecnologia Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/18/2008;Aprovado
178;Ultrapel Locação e Serviços Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/21/2008;Aprovado
181;Equipa Máquinas e Utensílios para Escritórios Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;11/26/2008;Aprovado
190;Lunes 3 Comércio de Máquinas e Suprimentos Gráficos Ltda;4;Revendedor;1;;00003;Pontuação VAR - Sul;12/10/2008;Aprovado
199;copylink equipamentos para escritorio ltda;4;Revendedor;1;;00003;Pontuação VAR - Sul;01/15/2009;Aprovado
208;Star Outsourcing Comércio e Serviços de Informática Ltda;4;Revendedor;9;Tecmach;00001;Pontuação VAR-Sudeste;02/03/2009;Aprovado
213;FK EQUIPAMENTOS PARA ESCRITÓRIO LTDA.;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;02/18/2009;Aprovado
215;PRODUS PRODUTOS E SOLUÇÕES PARA INFORMATICA LTDA;4;Revendedor;1;;00004;Pontuação VAR - Nordeste;02/27/2009;Aprovado
222;HELIOPRINT LOCADORA DE EQUIPAMENTOS LTDA;4;Revendedor;1;;00003;Pontuação VAR - Sul;03/16/2009;Aprovado
232;Klima Equipamentos Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;04/16/2009;Aprovado
235;Casa Omnigráfica de Máquinas ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;04/24/2009;Aprovado
